block_id,osm_id,amenity,cluster1,cluster2,Longitude,Latitude
20308,1924019363,restaurant,nan,13.0,-122.39227598296284,37.77741249550488
20308,2240839550,cafe,nan,13.0,-122.3919321829629,37.778383495504805
20308,2240869184,bar,nan,13.0,-122.39104618296302,37.77789359550484
20308,4921394504,restaurant,nan,13.0,-122.39217458296288,37.777437595504885
20308,6212265323,restaurant,nan,13.0,-122.39186798296292,37.778373995504815
20411,4693634741,cafe,nan,13.0,-122.39169738296296,37.7735143955052
20411,4693634741,cafe,nan,13.0,-122.39169738296296,37.7735143955052
20411,5184540203,bench,nan,13.0,-122.3926001829628,37.774150395505146
20411,5184540204,bench,nan,13.0,-122.39247838296282,37.774239895505126
20411,5184722774,waste_basket,nan,13.0,-122.39227548296286,37.77431299550512
20411,5184722774,waste_basket,nan,13.0,-122.39227548296286,37.77431299550512
20411,5184722775,waste_basket,nan,13.0,-122.39208308296288,37.77433269550514
20411,5184722775,waste_basket,nan,13.0,-122.39208308296288,37.77433269550514
20411,5512661856,restaurant,nan,13.0,-122.39167608296292,37.77365629550517
20411,5512661856,restaurant,nan,13.0,-122.39167608296292,37.77365629550517
20411,6133660029,restaurant,nan,13.0,-122.39169808296296,37.77389589550517
20411,6133660029,restaurant,nan,13.0,-122.39169808296296,37.77389589550517
20411,6133706543,cafe,nan,13.0,-122.391286782963,37.773477595505206
20411,6133706543,cafe,nan,13.0,-122.391286782963,37.773477595505206
20412,4693634741,cafe,nan,13.0,-122.39169738296296,37.7735143955052
20412,4693634741,cafe,nan,13.0,-122.39169738296296,37.7735143955052
20412,5512661856,restaurant,nan,13.0,-122.39167608296292,37.77365629550517
20412,5512661856,restaurant,nan,13.0,-122.39167608296292,37.77365629550517
20412,6133706543,cafe,nan,13.0,-122.391286782963,37.773477595505206
20412,6133706543,cafe,nan,13.0,-122.391286782963,37.773477595505206
20414,2453599646,restaurant,nan,13.0,-122.3906255829631,37.76904719550556
20415,1409407312,car_sharing,nan,13.0,-122.39072698296306,37.76800899550563
20415,1409407312,car_sharing,nan,13.0,-122.39072698296306,37.76800899550563
20415,2337695246,bench,nan,13.0,-122.39144488296296,37.767818595505645
20415,2337695247,bench,nan,13.0,-122.39137368296298,37.76782479550564
20415,2337695248,bench,nan,13.0,-122.391301482963,37.76782929550564
20415,2337695248,bench,nan,13.0,-122.391301482963,37.76782929550564
20415,2337695249,bench,nan,13.0,-122.391229182963,37.767832895505634
20415,2337695249,bench,nan,13.0,-122.391229182963,37.767832895505634
20415,2337695250,bench,nan,13.0,-122.39115348296303,37.76783819550563
20415,2337695250,bench,nan,13.0,-122.39115348296303,37.76783819550563
20415,2337695251,bench,nan,13.0,-122.391231482963,37.7685924955056
20415,2337695251,bench,nan,13.0,-122.391231482963,37.7685924955056
20415,2337695252,bench,nan,13.0,-122.391302582963,37.76858539550559
20415,2337695252,bench,nan,13.0,-122.391302582963,37.76858539550559
20415,2337695253,bench,nan,13.0,-122.39137038296298,37.768579195505566
20415,2337695253,bench,nan,13.0,-122.39137038296298,37.768579195505566
20415,2337695254,bench,nan,13.0,-122.39150928296296,37.76858629550557
20415,2337695254,bench,nan,13.0,-122.39150928296296,37.76858629550557
20415,2337695255,bench,nan,13.0,-122.39168768296295,37.768561295505584
20415,2337695255,bench,nan,13.0,-122.39168768296295,37.768561295505584
20415,2337695256,bench,nan,13.0,-122.39174978296292,37.768521095505584
20415,2337695256,bench,nan,13.0,-122.39174978296292,37.768521095505584
20415,2337695257,bench,nan,13.0,-122.39188758296292,37.76851039550558
20415,2337695257,bench,nan,13.0,-122.39188758296292,37.76851039550558
20415,2338760557,fast_food,nan,13.0,-122.39031708296314,37.76907259550554
20415,2338760557,fast_food,nan,13.0,-122.39031708296314,37.76907259550554
20415,2453599646,restaurant,nan,13.0,-122.3906255829631,37.76904719550556
20415,2453599646,restaurant,nan,13.0,-122.3906255829631,37.76904719550556
20415,2453600264,restaurant,nan,13.0,-122.39020978296313,37.76907259550554
20415,2453600264,restaurant,nan,13.0,-122.39020978296313,37.76907259550554
20415,2453600265,cafe,nan,13.0,-122.39010788296316,37.76907689550555
20415,6337145549,bench,nan,13.0,-122.39079198296308,37.768745395505576
20415,6337145549,bench,nan,13.0,-122.39079198296308,37.768745395505576
20415,6337145550,bench,nan,13.0,-122.39078468296309,37.768745795505566
20415,6337145550,bench,nan,13.0,-122.39078468296309,37.768745795505566
20415,6337145552,bench,nan,13.0,-122.3906521829631,37.76875239550555
20415,6337145552,bench,nan,13.0,-122.3906521829631,37.76875239550555
20415,6337145553,bench,nan,13.0,-122.3906448829631,37.76875279550556
20415,6337145553,bench,nan,13.0,-122.3906448829631,37.76875279550556
20415,6337145556,bench,nan,13.0,-122.39061778296308,37.76875529550557
20415,6337145556,bench,nan,13.0,-122.39061778296308,37.76875529550557
20415,6337145557,bench,nan,13.0,-122.3906104829631,37.76875569550558
20415,6337145557,bench,nan,13.0,-122.3906104829631,37.76875569550558
20415,6337145562,bench,nan,13.0,-122.39051418296307,37.76876149550556
20415,6337145562,bench,nan,13.0,-122.39051418296307,37.76876149550556
20415,6337145563,bench,nan,13.0,-122.39050688296312,37.76876189550558
20415,6337145563,bench,nan,13.0,-122.39050688296312,37.76876189550558
20415,6337145566,bench,nan,13.0,-122.39079428296309,37.76876919550557
20415,6337145566,bench,nan,13.0,-122.39079428296309,37.76876919550557
20415,6337145567,bench,nan,13.0,-122.39037858296312,37.76876929550557
20415,6337145567,bench,nan,13.0,-122.39037858296312,37.76876929550557
20415,6337145568,bench,nan,13.0,-122.39078698296306,37.76876969550556
20415,6337145568,bench,nan,13.0,-122.39078698296306,37.76876969550556
20415,6337145569,bench,nan,13.0,-122.39037128296312,37.768769795505584
20415,6337145569,bench,nan,13.0,-122.39037128296312,37.768769795505584
20415,6337145572,bench,nan,13.0,-122.39065448296309,37.76877619550557
20415,6337145572,bench,nan,13.0,-122.39065448296309,37.76877619550557
20415,6337145573,bench,nan,13.0,-122.39064718296306,37.76877659550557
20415,6337145573,bench,nan,13.0,-122.39064718296306,37.76877659550557
20415,6337145574,bench,nan,13.0,-122.39023948296315,37.76877729550557
20415,6337145574,bench,nan,13.0,-122.39023948296315,37.76877729550557
20415,6337145576,bench,nan,13.0,-122.39023218296312,37.76877769550556
20415,6337145576,bench,nan,13.0,-122.39023218296312,37.76877769550556
20415,6337145577,bench,nan,13.0,-122.39020378296314,37.76877779550557
20415,6337145577,bench,nan,13.0,-122.39020378296314,37.76877779550557
20415,6337145579,bench,nan,13.0,-122.39019648296312,37.768778195505554
20415,6337145579,bench,nan,13.0,-122.39019648296312,37.768778195505554
20415,6337145581,bench,nan,13.0,-122.3906200829631,37.768779095505565
20415,6337145581,bench,nan,13.0,-122.3906200829631,37.768779095505565
20415,6337145583,bench,nan,13.0,-122.39061278296307,37.76877949550558
20415,6337145583,bench,nan,13.0,-122.39061278296307,37.76877949550558
20415,6337145985,bench,nan,13.0,-122.39010248296314,37.76878399550556
20415,6337145987,bench,nan,13.0,-122.39009518296317,37.76878449550556
20415,6337145990,bench,nan,13.0,-122.39051648296312,37.76878529550555
20415,6337145990,bench,nan,13.0,-122.39051648296312,37.76878529550555
20415,6337145991,bench,nan,13.0,-122.39050918296309,37.76878579550557
20415,6337145991,bench,nan,13.0,-122.39050918296309,37.76878579550557
20415,6337145995,bench,nan,13.0,-122.3899643829632,37.76879269550554
20415,6337145996,bench,nan,13.0,-122.38995708296316,37.76879309550556
20415,6337145997,bench,nan,13.0,-122.39038088296311,37.76879309550556
20415,6337145997,bench,nan,13.0,-122.39038088296311,37.76879309550556
20415,6337145998,bench,nan,13.0,-122.39037358296316,37.76879359550558
20415,6337145998,bench,nan,13.0,-122.39037358296316,37.76879359550558
20415,6337146007,bench,nan,13.0,-122.39024168296316,37.76880109550557
20415,6337146007,bench,nan,13.0,-122.39024168296316,37.76880109550557
