block_id,osm_id,amenity,cluster1,cluster2,Longitude,Latitude
33805,968694989,restaurant,,5.0,-122.43379178295706,37.73439679550828
33805,974352510,cafe,,5.0,-122.43394738295706,37.73374219550831
33805,1003283711,fast_food,,5.0,-122.434310282957,37.73339039550835
33805,1409407279,car_sharing,,5.0,-122.43328338295716,37.73368049550833
33805,2078333118,restaurant,,5.0,-122.43365478295708,37.73442179550827
33805,2449889426,car_rental,,5.0,-122.43377828295708,37.73384159550832
33805,4284575918,restaurant,,5.0,-122.43364868295711,37.73456559550824
33805,4284609495,restaurant,,5.0,-122.434184082957,37.73399049550828
33805,4284609496,restaurant,,5.0,-122.43415558295705,37.73408199550829
33805,4284609497,bar,,5.0,-122.43413048295702,37.73415529550829
33805,5316315193,vending_machine,,5.0,-122.43404038295704,37.73311239550837
33805,5707334951,post_office,,5.0,-122.434374182957,37.73329999550836
33806,3271850008,car_sharing,,5.0,-122.43510708295688,37.7338457955083
35706,3557413732,restaurant,,5.0,-122.43390868295708,37.73476309550823
35706,6493825924,restaurant,,5.0,-122.43392418295709,37.73466679550825
36600,2054109855,bar,,5.0,-122.43271928295724,37.727202795508845
56843,1241673242,cafe,,5.0,-122.4315587829574,37.72870769550872
56843,2054130283,fuel,,5.0,-122.4313379829574,37.72904419550868
