code,code,1 / distance
0.0,0.0,0.0
1.0,1.0,0.0
1.0,5.0,0.001561898022167021
1.0,8.0,0.001722599147671799
1.0,9.0,0.0016753109792470456
1.0,10.0,0.0017251187237664876
1.0,11.0,0.0021693587507298083
1.0,14.0,0.0016229055603201043
1.0,18.0,0.0033398962430194754
1.0,20.0,0.0016292233438933445
2.0,2.0,0.0
2.0,4.0,0.0028761003634111926
2.0,15.0,0.003016604223940753
2.0,27.0,0.0009338111588840244
3.0,3.0,0.0
4.0,2.0,0.0028761003634111926
4.0,4.0,0.0
4.0,15.0,0.061722807074412696
4.0,27.0,0.0013762610789318857
5.0,1.0,0.001561898022167021
5.0,5.0,0.0
5.0,8.0,0.014834185703605278
5.0,9.0,0.01177227168687391
5.0,10.0,0.014002948915346602
5.0,11.0,0.0050981192201948345
5.0,14.0,0.024018382925183542
5.0,18.0,0.002844549098742075
5.0,20.0,0.0069459137151612746
6.0,6.0,0.0
6.0,16.0,0.0030870225363313357
6.0,19.0,0.0033298940599081383
6.0,24.0,0.001749017806929834
7.0,7.0,0.0
7.0,13.0,0.003991322074068791
7.0,17.0,0.01560207951632705
7.0,21.0,0.001999042190424738
8.0,1.0,0.001722599147671799
8.0,5.0,0.014834185703605278
8.0,8.0,0.0
8.0,9.0,0.009900468928477214
8.0,10.0,0.015213311912345477
8.0,11.0,0.00773270618158343
8.0,14.0,0.02801068658665614
8.0,18.0,0.0034771788991371537
8.0,20.0,0.005936973159217015
9.0,1.0,0.0016753109792470456
9.0,5.0,0.01177227168687391
9.0,8.0,0.009900468928477214
9.0,9.0,0.0
9.0,10.0,0.026843954664520494
9.0,11.0,0.005152318470553765
9.0,14.0,0.009420296783739283
9.0,18.0,0.003069735716077664
9.0,20.0,0.014819559541273414
10.0,1.0,0.0017251187237664876
10.0,5.0,0.014002948915346602
10.0,8.0,0.015213311912345477
10.0,9.0,0.026843954664520494
10.0,10.0,0.0
10.0,11.0,0.006239209906220239
10.0,14.0,0.012752332557497319
10.0,18.0,0.003330855104926309
10.0,20.0,0.009654532566824614
11.0,1.0,0.0021693587507298083
11.0,5.0,0.0050981192201948345
11.0,8.0,0.00773270618158343
11.0,9.0,0.005152318470553765
11.0,10.0,0.006239209906220239
11.0,11.0,0.0
11.0,14.0,0.006140509806501031
11.0,18.0,0.006148672694396153
11.0,20.0,0.004008493353935839
12.0,12.0,0.0
12.0,25.0,0.0020296283081513897
13.0,7.0,0.003991322074068791
13.0,13.0,0.0
13.0,17.0,0.0031796532467917014
13.0,21.0,0.002362581778963785
14.0,1.0,0.0016229055603201043
14.0,5.0,0.024018382925183542
14.0,8.0,0.02801068658665614
14.0,9.0,0.009420296783739283
14.0,10.0,0.012752332557497319
14.0,11.0,0.006140509806501031
14.0,14.0,0.0
14.0,18.0,0.0030993052758597596
14.0,20.0,0.005819044470515857
15.0,2.0,0.003016604223940753
15.0,4.0,0.061722807074412696
15.0,15.0,0.0
15.0,27.0,0.0013468125169905784
16.0,6.0,0.0030870225363313357
16.0,16.0,0.0
16.0,19.0,0.0016922067543859026
16.0,24.0,0.001172048589903386
17.0,7.0,0.01560207951632705
17.0,13.0,0.0031796532467917014
17.0,17.0,0.0
17.0,21.0,0.001874761556003938
18.0,1.0,0.0033398962430194754
18.0,5.0,0.002844549098742075
18.0,8.0,0.0034771788991371537
18.0,9.0,0.003069735716077664
18.0,10.0,0.003330855104926309
18.0,11.0,0.006148672694396153
18.0,14.0,0.0030993052758597596
18.0,18.0,0.0
18.0,20.0,0.002760062986730955
19.0,6.0,0.0033298940599081383
19.0,16.0,0.0016922067543859026
19.0,19.0,0.0
19.0,24.0,0.0036834134392557025
20.0,1.0,0.0016292233438933445
20.0,5.0,0.0069459137151612746
20.0,8.0,0.005936973159217015
20.0,9.0,0.014819559541273414
20.0,10.0,0.009654532566824614
20.0,11.0,0.004008493353935839
20.0,14.0,0.005819044470515857
20.0,18.0,0.002760062986730955
20.0,20.0,0.0
21.0,7.0,0.001999042190424738
21.0,13.0,0.002362581778963785
21.0,17.0,0.001874761556003938
21.0,21.0,0.0
22.0,22.0,0.0
23.0,23.0,0.0
24.0,6.0,0.001749017806929834
24.0,16.0,0.001172048589903386
24.0,19.0,0.0036834134392557025
24.0,24.0,0.0
25.0,12.0,0.0020296283081513897
25.0,25.0,0.0
26.0,26.0,0.0
27.0,2.0,0.0009338111588840244
27.0,4.0,0.0013762610789318857
27.0,15.0,0.0013468125169905784
27.0,27.0,0.0
28.0,28.0,0.0
