node,node,Connection
0,0,1
0,29,1
0,30,1
0,31,1
0,41,1
0,43,1
0,44,1
0,53,1
0,61,1
0,84,1
0,90,1
0,92,1
1,1,1
1,3,1
1,5,1
1,8,1
1,9,1
1,12,1
1,16,1
1,17,1
1,19,1
1,21,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,56,1
1,57,1
1,59,1
1,62,1
1,66,1
1,69,1
1,72,1
1,73,1
1,79,1
1,80,1
1,83,1
1,86,1
1,87,1
1,88,1
1,89,1
1,103,1
1,104,1
2,1,1
2,3,1
2,5,1
2,8,1
2,9,1
2,12,1
2,16,1
2,17,1
2,19,1
2,21,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,56,1
2,57,1
2,59,1
2,62,1
2,66,1
2,69,1
2,72,1
2,73,1
2,79,1
2,80,1
2,83,1
2,86,1
2,87,1
2,88,1
2,89,1
2,103,1
2,104,1
3,1,1
3,3,1
3,5,1
3,8,1
3,9,1
3,12,1
3,16,1
3,17,1
3,19,1
3,21,1
3,23,1
3,24,1
3,25,1
3,26,1
3,27,1
3,28,1
3,56,1
3,57,1
3,59,1
3,62,1
3,66,1
3,69,1
3,72,1
3,73,1
3,79,1
3,80,1
3,83,1
3,86,1
3,87,1
3,88,1
3,89,1
3,103,1
3,104,1
4,1,1
4,3,1
4,5,1
4,8,1
4,9,1
4,12,1
4,16,1
4,17,1
4,19,1
4,21,1
4,23,1
4,24,1
4,25,1
4,26,1
4,27,1
4,28,1
4,56,1
4,57,1
4,59,1
4,62,1
4,66,1
4,69,1
4,72,1
4,73,1
4,79,1
4,80,1
4,83,1
4,86,1
4,87,1
4,88,1
4,89,1
4,103,1
4,104,1
5,20,1
12,7,1
12,46,1
12,47,1
12,81,1
17,20,1
18,1,1
18,3,1
18,5,1
18,8,1
18,9,1
18,12,1
18,16,1
18,17,1
18,19,1
18,21,1
18,23,1
18,24,1
18,25,1
18,26,1
18,27,1
18,28,1
18,56,1
18,57,1
18,59,1
18,62,1
18,66,1
18,69,1
18,72,1
18,73,1
18,79,1
18,80,1
18,83,1
18,86,1
18,87,1
18,88,1
18,89,1
18,103,1
18,104,1
19,1,1
19,3,1
19,5,1
19,8,1
19,9,1
19,12,1
19,16,1
19,17,1
19,19,1
19,21,1
19,23,1
19,24,1
19,25,1
19,26,1
19,27,1
19,28,1
19,56,1
19,57,1
19,59,1
19,62,1
19,66,1
19,69,1
19,72,1
19,73,1
19,79,1
19,80,1
19,83,1
19,86,1
19,87,1
19,88,1
19,89,1
19,103,1
19,104,1
20,1,1
20,3,1
20,5,1
20,8,1
20,9,1
20,12,1
20,16,1
20,17,1
20,19,1
20,21,1
20,23,1
20,24,1
20,25,1
20,26,1
20,27,1
20,28,1
20,56,1
20,57,1
20,59,1
20,62,1
20,66,1
20,69,1
20,72,1
20,73,1
20,79,1
20,80,1
20,83,1
20,86,1
20,87,1
20,88,1
20,89,1
20,103,1
20,104,1
21,32,1
24,0,1
24,29,1
24,30,1
24,31,1
24,41,1
24,43,1
24,44,1
24,53,1
24,61,1
24,84,1
24,90,1
24,92,1
25,1,1
25,3,1
25,5,1
25,8,1
25,9,1
25,12,1
25,16,1
25,17,1
25,19,1
25,21,1
25,23,1
25,24,1
25,25,1
25,26,1
25,27,1
25,28,1
25,56,1
25,57,1
25,59,1
25,62,1
25,66,1
25,69,1
25,72,1
25,73,1
25,79,1
25,80,1
25,83,1
25,86,1
25,87,1
25,88,1
25,89,1
25,103,1
25,104,1
26,1,1
26,3,1
26,5,1
26,8,1
26,9,1
26,12,1
26,16,1
26,17,1
26,19,1
26,21,1
26,23,1
26,24,1
26,25,1
26,26,1
26,27,1
26,28,1
26,56,1
26,57,1
26,59,1
26,62,1
26,66,1
26,69,1
26,72,1
26,73,1
26,79,1
26,80,1
26,83,1
26,86,1
26,87,1
26,88,1
26,89,1
26,103,1
26,104,1
27,1,1
27,3,1
27,5,1
27,8,1
27,9,1
27,12,1
27,16,1
27,17,1
27,19,1
27,21,1
27,23,1
27,24,1
27,25,1
27,26,1
27,27,1
27,28,1
27,56,1
27,57,1
27,59,1
27,62,1
27,66,1
27,69,1
27,72,1
27,73,1
27,79,1
27,80,1
27,83,1
27,86,1
27,87,1
27,88,1
27,89,1
27,103,1
27,104,1
28,1,1
28,3,1
28,5,1
28,8,1
28,9,1
28,12,1
28,16,1
28,17,1
28,19,1
28,21,1
28,23,1
28,24,1
28,25,1
28,26,1
28,27,1
28,28,1
28,56,1
28,57,1
28,59,1
28,62,1
28,66,1
28,69,1
28,72,1
28,73,1
28,79,1
28,80,1
28,83,1
28,86,1
28,87,1
28,88,1
28,89,1
28,103,1
28,104,1
29,102,1
30,102,1
31,1,1
31,3,1
31,5,1
31,8,1
31,9,1
31,12,1
31,16,1
31,17,1
31,19,1
31,21,1
31,23,1
31,24,1
31,25,1
31,26,1
31,27,1
31,28,1
31,56,1
31,57,1
31,59,1
31,62,1
31,66,1
31,69,1
31,72,1
31,73,1
31,79,1
31,80,1
31,83,1
31,86,1
31,87,1
31,88,1
31,89,1
31,103,1
31,104,1
32,20,1
33,32,1
34,42,1
34,71,1
34,77,1
35,1,1
35,3,1
35,5,1
35,8,1
35,9,1
35,12,1
35,16,1
35,17,1
35,19,1
35,21,1
35,23,1
35,24,1
35,25,1
35,26,1
35,27,1
35,28,1
35,56,1
35,57,1
35,59,1
35,62,1
35,66,1
35,69,1
35,72,1
35,73,1
35,79,1
35,80,1
35,83,1
35,86,1
35,87,1
35,88,1
35,89,1
35,103,1
35,104,1
36,1,1
36,3,1
36,5,1
36,8,1
36,9,1
36,12,1
36,16,1
36,17,1
36,19,1
36,21,1
36,23,1
36,24,1
36,25,1
36,26,1
36,27,1
36,28,1
36,56,1
36,57,1
36,59,1
36,62,1
36,66,1
36,69,1
36,72,1
36,73,1
36,79,1
36,80,1
36,83,1
36,86,1
36,87,1
36,88,1
36,89,1
36,103,1
36,104,1
38,1,1
38,3,1
38,5,1
38,8,1
38,9,1
38,12,1
